work,workLabel,relation,date,language,languageLabel,country,countryLabel,place,placeLabel,lat,lon,origWork,origTitle
http://www.wikidata.org/entity/Q121971764,Q121971764,edition_or_translation_of,2016-01-01T00:00:00Z,http://www.wikidata.org/entity/Q9056,Czech,,,http://www.wikidata.org/entity/Q1085,Prague,50.0875,14.421388888,http://www.wikidata.org/entity/Q499396,Love in the Time of Cholera
http://www.wikidata.org/entity/Q121997422,Q121997422,edition_or_translation_of,2017-01-01T00:00:00Z,http://www.wikidata.org/entity/Q9056,Czech,,,http://www.wikidata.org/entity/Q1085,Prague,50.0875,14.421388888,http://www.wikidata.org/entity/Q961566,The Autumn of the Patriarch
http://www.wikidata.org/entity/Q122078020,Q122078020,edition_or_translation_of,2020-01-01T00:00:00Z,http://www.wikidata.org/entity/Q9056,Czech,,,http://www.wikidata.org/entity/Q1085,Prague,50.0875,14.421388888,http://www.wikidata.org/entity/Q1051965,Memories of My Melancholy Whores
http://www.wikidata.org/entity/Q849169,Love in the Time of Cholera,based_on,2007-01-01T00:00:00Z,,,http://www.wikidata.org/entity/Q30,United States,,,,,http://www.wikidata.org/entity/Q499396,Love in the Time of Cholera
http://www.wikidata.org/entity/Q106727030,Q106727030,edition_or_translation_of,1994-01-01T00:00:00Z,http://www.wikidata.org/entity/Q652,Italian,,,http://www.wikidata.org/entity/Q490,Milan,45.466944444,9.19,http://www.wikidata.org/entity/Q499396,Love in the Time of Cholera
http://www.wikidata.org/entity/Q122088055,Q122088055,edition_or_translation_of,2021-01-01T00:00:00Z,http://www.wikidata.org/entity/Q9056,Czech,,,http://www.wikidata.org/entity/Q1085,Prague,50.0875,14.421388888,http://www.wikidata.org/entity/Q1132408,No One Writes to the Colonel
http://www.wikidata.org/entity/Q126711795,In Evil Hour,edition_or_translation_of,,http://www.wikidata.org/entity/Q1860,English,,,,,,,http://www.wikidata.org/entity/Q1630561,In Evil Hour
http://www.wikidata.org/entity/Q122103756,Q122103756,edition_or_translation_of,2021-01-01T00:00:00Z,http://www.wikidata.org/entity/Q9056,Czech,,,http://www.wikidata.org/entity/Q1085,Prague,50.0875,14.421388888,http://www.wikidata.org/entity/Q178869,One Hundred Years of Solitude
http://www.wikidata.org/entity/Q117280147,Q117280147,edition_or_translation_of,,,,,,,,,,http://www.wikidata.org/entity/Q178869,One Hundred Years of Solitude
http://www.wikidata.org/entity/Q124175370,One Hundred Years of Solitude,based_on,,,,http://www.wikidata.org/entity/Q739,Colombia,,,,,http://www.wikidata.org/entity/Q178869,One Hundred Years of Solitude
http://www.wikidata.org/entity/Q4127657,Memories of My Melancholy Whores,based_on,2011-01-01T00:00:00Z,,,http://www.wikidata.org/entity/Q96,Mexico,,,,,http://www.wikidata.org/entity/Q1051965,Memories of My Melancholy Whores
http://www.wikidata.org/entity/Q133351973,Q133351973,edition_or_translation_of,2002-10-01T00:00:00Z,http://www.wikidata.org/entity/Q1321,Spanish,,,,,,,http://www.wikidata.org/entity/Q2916119,Living to Tell the Tale
http://www.wikidata.org/entity/Q4127657,Memories of My Melancholy Whores,based_on,2011-01-01T00:00:00Z,,,http://www.wikidata.org/entity/Q30,United States,,,,,http://www.wikidata.org/entity/Q1051965,Memories of My Melancholy Whores
http://www.wikidata.org/entity/Q505097,Chronicle of a Death Foretold,based_on,1987-01-01T00:00:00Z,,,http://www.wikidata.org/entity/Q739,Colombia,,,,,http://www.wikidata.org/entity/Q935935,Chronicle of a Death Foretold
http://www.wikidata.org/entity/Q3053551,There Are No Thieves in This Village,based_on,1965-01-01T00:00:00Z,,,http://www.wikidata.org/entity/Q96,Mexico,,,,,http://www.wikidata.org/entity/Q105084760,There Are No Thieves in This Village
http://www.wikidata.org/entity/Q122113218,Q122113218,edition_or_translation_of,2021-01-01T00:00:00Z,http://www.wikidata.org/entity/Q9056,Czech,,,http://www.wikidata.org/entity/Q1085,Prague,50.0875,14.421388888,http://www.wikidata.org/entity/Q499396,Love in the Time of Cholera
http://www.wikidata.org/entity/Q117281190,Q117281190,edition_or_translation_of,2013-01-01T00:00:00Z,,,,,,,,,http://www.wikidata.org/entity/Q178869,One Hundred Years of Solitude
http://www.wikidata.org/entity/Q505097,Chronicle of a Death Foretold,based_on,1987-06-04T00:00:00Z,,,http://www.wikidata.org/entity/Q739,Colombia,,,,,http://www.wikidata.org/entity/Q935935,Chronicle of a Death Foretold
http://www.wikidata.org/entity/Q4127657,Memories of My Melancholy Whores,based_on,2011-01-01T00:00:00Z,,,http://www.wikidata.org/entity/Q35,Denmark,,,,,http://www.wikidata.org/entity/Q1051965,Memories of My Melancholy Whores
http://www.wikidata.org/entity/Q129676932,Memories of My Melancholy Whores,edition_or_translation_of,2006-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,,,http://www.wikidata.org/entity/Q30,United States,39.828175,-98.5795,http://www.wikidata.org/entity/Q1051965,Memories of My Melancholy Whores
http://www.wikidata.org/entity/Q121915684,Q121915684,edition_or_translation_of,1978-01-01T00:00:00Z,http://www.wikidata.org/entity/Q9056,Czech,,,http://www.wikidata.org/entity/Q1085,Prague,50.0875,14.421388888,http://www.wikidata.org/entity/Q961566,The Autumn of the Patriarch
http://www.wikidata.org/entity/Q122637140,Q122637140,edition_or_translation_of,,http://www.wikidata.org/entity/Q1321,Spanish,,,http://www.wikidata.org/entity/Q739,Colombia,4.0,-73.25,http://www.wikidata.org/entity/Q2626841,News of a Kidnapping
http://www.wikidata.org/entity/Q15696724,A Very Old Man With Enormous Wings,based_on,1988-01-01T00:00:00Z,,,http://www.wikidata.org/entity/Q38,Italy,,,,,http://www.wikidata.org/entity/Q4340672,A Very Old Man with Enormous Wings
http://www.wikidata.org/entity/Q122091449,Q122091449,edition_or_translation_of,2021-01-01T00:00:00Z,http://www.wikidata.org/entity/Q9056,Czech,,,http://www.wikidata.org/entity/Q1085,Prague,50.0875,14.421388888,http://www.wikidata.org/entity/Q267650,Of Love and Other Demons
http://www.wikidata.org/entity/Q132658877,Q132658877,edition_or_translation_of,2010-10-29T00:00:00Z,http://www.wikidata.org/entity/Q1321,Spanish,,,,,,,http://www.wikidata.org/entity/Q6170112,
http://www.wikidata.org/entity/Q19754897,El otoño del patriarca,edition_or_translation_of,1975-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1321,Spanish,,,,,,,http://www.wikidata.org/entity/Q961566,The Autumn of the Patriarch
http://www.wikidata.org/entity/Q19754968,L'Automne du patriarche,edition_or_translation_of,1976-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1321,Spanish,,,,,,,http://www.wikidata.org/entity/Q961566,The Autumn of the Patriarch
http://www.wikidata.org/entity/Q97232505,The General in His Labyrinth,edition_or_translation_of,,http://www.wikidata.org/entity/Q1860,English,,,,,,,http://www.wikidata.org/entity/Q1193847,The General in His Labyrinth
http://www.wikidata.org/entity/Q126707254,Q126707254,edition_or_translation_of,,http://www.wikidata.org/entity/Q1321,Spanish,,,,,,,http://www.wikidata.org/entity/Q935935,Chronicle of a Death Foretold
