Worklinks,Work,Creatorlink,Creator,Sourcework link,Sourcework,Countrylink,Country,Languagelink,Language,date,Latitude,Longitude
http://www.wikidata.org/entity/Q84693711,The Tragedy of Macbeth,http://www.wikidata.org/entity/Q13595311,Joel Coen,http://www.wikidata.org/entity/Q130283,Macbeth,http://www.wikidata.org/entity/Q30,United States,,,2021-12-23T00:00:00Z,39.828175,-98.5795
http://www.wikidata.org/entity/Q16679772,The Seven Ages,,,http://www.wikidata.org/entity/Q237572,As You Like It,http://www.wikidata.org/entity/Q30,United States,,,1905-01-01T00:00:00Z,39.828175,-98.5795
http://www.wikidata.org/entity/Q24904727,Gnomeo and Juliet 2: Sherlock Gnomes,http://www.wikidata.org/entity/Q766826,Andy Riley,http://www.wikidata.org/entity/Q83186,Romeo and Juliet,http://www.wikidata.org/entity/Q30,United States,,,2018-04-11T00:00:00Z,39.828175,-98.5795
http://www.wikidata.org/entity/Q7857555,Twelfth Night,,,http://www.wikidata.org/entity/Q221211,Twelfth Night,http://www.wikidata.org/entity/Q30,United States,,,1933-01-01T00:00:00Z,39.828175,-98.5795
http://www.wikidata.org/entity/Q118405167,Anyone but You,http://www.wikidata.org/entity/Q2576503,Q2576503,http://www.wikidata.org/entity/Q130851,Much Ado About Nothing,http://www.wikidata.org/entity/Q30,United States,,,2023-12-22T00:00:00Z,39.828175,-98.5795
http://www.wikidata.org/entity/Q17017632,Romeo and Juliet,http://www.wikidata.org/entity/Q3018923,David Van Tieghem,http://www.wikidata.org/entity/Q83186,Romeo and Juliet,http://www.wikidata.org/entity/Q30,United States,,,2014-01-01T00:00:00Z,39.828175,-98.5795
http://www.wikidata.org/entity/Q3326206,Romeo and Juliet,http://www.wikidata.org/entity/Q724276,J. Stuart Blackton,http://www.wikidata.org/entity/Q83186,Romeo and Juliet,http://www.wikidata.org/entity/Q30,United States,,,1908-01-01T00:00:00Z,39.828175,-98.5795
http://www.wikidata.org/entity/Q7719064,The Bomb-itty of Errors,http://www.wikidata.org/entity/Q6276350,Jordan Allen-Dutton,http://www.wikidata.org/entity/Q506505,The Comedy of Errors,http://www.wikidata.org/entity/Q30,United States,http://www.wikidata.org/entity/Q1860,English,,39.828175,-98.5795
http://www.wikidata.org/entity/Q102405567,The Serpent of Venice,http://www.wikidata.org/entity/Q861482,Christopher Moore,http://www.wikidata.org/entity/Q206400,The Merchant of Venice,http://www.wikidata.org/entity/Q30,United States,http://www.wikidata.org/entity/Q1860,English,2014-04-22T00:00:00Z,39.828175,-98.5795
http://www.wikidata.org/entity/Q108412131,Macbeth,,,http://www.wikidata.org/entity/Q130283,Macbeth,http://www.wikidata.org/entity/Q30,United States,,,1981-01-01T00:00:00Z,39.828175,-98.5795
