work,workLabel,relation,date,language,languageLabel,country,countryLabel,place,placeLabel,lat,lon,origWork,origTitle
http://www.wikidata.org/entity/Q21175317,Miranda,based_on,1916-01-01T00:00:00Z,,,,,,,,,http://www.wikidata.org/entity/Q86440,The Tempest
http://www.wikidata.org/entity/Q41486944,Der Klingonische Hamlet,edition_or_translation_of,2014-12-01T00:00:00Z,http://www.wikidata.org/entity/Q10134,Klingon,,,,,,,http://www.wikidata.org/entity/Q54800666,The Klingon Hamlet
http://www.wikidata.org/entity/Q47402980,Antony and Cleopatra (1949-1950),based_on,,http://www.wikidata.org/entity/Q188,German,,,,,,,http://www.wikidata.org/entity/Q606830,Antony and Cleopatra
http://www.wikidata.org/entity/Q19891343,Dil Farosh,based_on,1927-01-01T00:00:00Z,,,http://www.wikidata.org/entity/Q129286,British Raj,,,,,http://www.wikidata.org/entity/Q206400,The Merchant of Venice
http://www.wikidata.org/entity/Q43753251,Q43753251,edition_or_translation_of,,http://www.wikidata.org/entity/Q150,French,,,,,,,http://www.wikidata.org/entity/Q257129,Sonnet 57
http://www.wikidata.org/entity/Q19124198,Q19124198,edition_or_translation_of,1872-01-01T00:00:00Z,http://www.wikidata.org/entity/Q150,French,,,,,,,http://www.wikidata.org/entity/Q1199790,The Passionate Pilgrim
http://www.wikidata.org/entity/Q29828859,Harlem Duet,based_on,,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q16,Canada,,,,,http://www.wikidata.org/entity/Q26833,Othello
http://www.wikidata.org/entity/Q20814872,Twelfth Night,based_on,1966-10-26T00:00:00Z,,,http://www.wikidata.org/entity/Q408,Australia,,,,,http://www.wikidata.org/entity/Q221211,Twelfth Night
http://www.wikidata.org/entity/Q27313254,Banquo's Ghost,based_on,1854-01-01T00:00:00Z,,,,,,,,,http://www.wikidata.org/entity/Q130283,Macbeth
http://www.wikidata.org/entity/Q30597804,Ophelia,based_on,2019-06-28T00:00:00Z,,,http://www.wikidata.org/entity/Q30,United States,,,,,http://www.wikidata.org/entity/Q41567,Hamlet
http://www.wikidata.org/entity/Q21998404,Christopher Sly,based_on,,,,,,,,,,http://www.wikidata.org/entity/Q332387,The Taming of the Shrew
http://www.wikidata.org/entity/Q47416819,Q47416819,based_on,,http://www.wikidata.org/entity/Q188,German,,,,,,,http://www.wikidata.org/entity/Q86440,The Tempest
http://www.wikidata.org/entity/Q20649699,Romeo and Juliet,based_on,1943-01-01T00:00:00Z,,,http://www.wikidata.org/entity/Q96,Mexico,,,,,http://www.wikidata.org/entity/Q83186,Romeo and Juliet
http://www.wikidata.org/entity/Q19968926,"Titania, Bottom and the Fairies",based_on,1793-01-01T00:00:00Z,,,,,,,,,http://www.wikidata.org/entity/Q104871,A Midsummer Night's Dream
http://www.wikidata.org/entity/Q24904727,Gnomeo and Juliet 2: Sherlock Gnomes,based_on,2018-05-03T00:00:00Z,,,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q83186,Romeo and Juliet
http://www.wikidata.org/entity/Q23823172,Q23823172,based_on,,http://www.wikidata.org/entity/Q9067,Hungarian,http://www.wikidata.org/entity/Q28,Hungary,,,,,http://www.wikidata.org/entity/Q104871,A Midsummer Night's Dream
http://www.wikidata.org/entity/Q41486944,Der Klingonische Hamlet,edition_or_translation_of,2015-04-10T00:00:00Z,http://www.wikidata.org/entity/Q10134,Klingon,,,,,,,http://www.wikidata.org/entity/Q54800666,The Klingon Hamlet
http://www.wikidata.org/entity/Q41486944,Der Klingonische Hamlet,edition_or_translation_of,2014-12-01T00:00:00Z,http://www.wikidata.org/entity/Q188,German,,,,,,,http://www.wikidata.org/entity/Q54800666,The Klingon Hamlet
http://www.wikidata.org/entity/Q30597804,Ophelia,based_on,2018-01-01T00:00:00Z,,,http://www.wikidata.org/entity/Q30,United States,,,,,http://www.wikidata.org/entity/Q41567,Hamlet
http://www.wikidata.org/entity/Q28761773,Roméo et Juliette,edition_or_translation_of,1868-01-01T00:00:00Z,http://www.wikidata.org/entity/Q150,French,,,,,,,http://www.wikidata.org/entity/Q83186,Romeo and Juliet
http://www.wikidata.org/entity/Q25410693,Juliet and Romeo,based_on,1996-01-01T00:00:00Z,,,http://www.wikidata.org/entity/Q38,Italy,,,,,http://www.wikidata.org/entity/Q83186,Romeo and Juliet
http://www.wikidata.org/entity/Q47413108,Q47413108,based_on,,http://www.wikidata.org/entity/Q188,German,,,,,,,http://www.wikidata.org/entity/Q743194,The Winter's Tale
http://www.wikidata.org/entity/Q24904727,Gnomeo and Juliet 2: Sherlock Gnomes,based_on,2018-04-11T00:00:00Z,,,http://www.wikidata.org/entity/Q30,United States,,,,,http://www.wikidata.org/entity/Q83186,Romeo and Juliet
http://www.wikidata.org/entity/Q19897984,The Taming of the Shrew,based_on,,,,,,,,,,http://www.wikidata.org/entity/Q332387,The Taming of the Shrew
http://www.wikidata.org/entity/Q23691618,Jacques and the Wounded Stag,based_on,1806-01-01T00:00:00Z,,,,,,,,,http://www.wikidata.org/entity/Q237572,As You Like It
